#id,NAME,pNAME,PSRJ,pPSRJ,RAJ,eRAJ,pRAJ,DECJ,eDECJ,pDECJ,PMRA,ePMRA,pPMRA,PMDEC,ePMDEC,pPMDEC,PX,ePX,pPX,POSEPOCH,pPOSEPOCH,RAJD,DECJD,P0,eP0,pP0,P1,eP1,pP1,F0,eF0,pF0,F1,eF1,pF1,F2,eF2,pF3,F3,eF3,pF3,PEPOCH,pPEPOCH,DM,eDM,pDM,DM1,eDM1,pDM1,W50,eW50,pW50,W10,eW10,pW10,S400,eS400,pS400,S1400,eS1400,pS1400,DMEPOCH,pDMEPOCH,BINARY,pBINARY,DIST,DIST_DM,pDIST_DM
#,,,,,(hms),,,(dms),,,(mas/yr),,,(mas/yr),,,(mas),,,(MJD),,(deg),(deg),(s),,,,,,(Hz),,,(s^-2),,,(s^-3),,,(s^-4),,,(MJD),,(cm^-3pc),,,(cm^-3pc/yr),,,(ms),,,(ms),,,(mJy),,,(mJy),,,(MJD),,(type),,(kpc),(kpc),
1,B0833-45,lvm68,J0835-4510,lvm68,08:35:20.61149,2E-05,dlrm03,-45:10:34.8751,0.0003,dlrm03,-49.68,0.06,dlrm03,29.9,0.1,dlrm03,3.5,0.2,dlrm03,51544,dlrm03,128.83588,-45.17635,0.089328385024,4E-12,dml02,1.25008E-13,1.6E-17,dml02,11.1946499395,5E-10,dml02,-1.5666E-11,2E-15,dml02,1.028E-21,1E-24,dml02,*,0,*,51559.319,dml02,67.97,0.02,pkj+13,0.005,0.001,pkj+13,2.1,0,antt94,4.5,0,antt94,5000,0,tml93,1100,0,bf74,55000,*,*,*,0.28,25,ymw16
2,B0329+54,cp68,J0332+5434,cp68,03:32:59.368,0.005,hlk+04,+54:34:43.57,0.07,hlk+04,17,0.3,bbgt02,-9.5,0.4,bbgt02,0.94,0.11,bbgt02,46473,hlk+04,53.24737,54.57877,0.714519699726,4E-12,hlk+04,2.048265E-15,8E-21,hlk+04,1.39954153872,6E-12,hlk+04,-4.01197E-15,1.4E-20,hlk+04,5.3E-28,1.5E-28,hlk+04,*,0,*,46473,hlk+04,26.7641,0.0001,hsh+12,*,0,*,6.6,0,lylg95,31.4,0,lylg95,1500,200,lylg95,203,57,lylg95,46473,*,*,*,1,1.18,ymw17
3,B1749-28,tv68,J1752-2806,tv68,17:52:58.6896,0.0017,hlk+04,-28:06:37.3,0.3,hlk+04,-4,6,fgml97,-5,5,fgml97,*,0,*,46483,hlk+04,268.24454,-28.11036,0.56255763553,3E-11,hlk+04,8.12913E-15,1E-19,hlk+04,1.77759563969,8E-11,hlk+04,-2.56868E-14,3E-19,hlk+04,1.3E-26,3E-27,hlk+04,*,0,*,46483,hlk+04,50.372,0.008,hlk+04,*,0,*,9.1,0,hfs+04,15,0,hfs+04,1100,100,lylg95,18,1.8,hfs+04,46483,*,*,*,0.2,1.34,ymw17
4,J0437-4715,jlh+93,J0437-4715,jlh+93,04:37:15.8961737,6E-07,rhc+16,-47:15:09.110714,7E-06,rhc+16,121.4385,0.002,rhc+16,-71.4754,0.002,rhc+16,6.37,0.09,rhc+16,54500,*,69.31623,-47.25253,0.005757451936713,1.7E-17,rhc+16,5.729215E-20,1.7E-25,rhc+16,173.687945812184,5E-13,rhc+16,-1.728361E-15,5E-21,rhc+16,*,0,*,*,0,*,54500,rhc+16,2.64476,7E-05,vbv+08,*,0,*,0.141,0.0005,mhb+13,1.02,0,ymv+11,550,100,tbms98,149,36,mhb+13,54500,*,T2,rhc+16,0.16,0.16,ymw17
5,B0531+21,sr68,J0534+2200,sr68,05:34:31.973,0.005,mcn71,+22:00:52.06,0.06,mcn71,-14.7,0.8,nr06,2,0.8,nr06,*,0,*,40706,mcn71,83.63322,22.01446,0.0333924123,1.2E-09,ljg+15,4.20972E-13,3E-18,ljg+15,29.946923,1E-06,ljg+15,-3.77535E-10,2E-15,ljg+15,1.1147E-20,5E-24,ljg+15,-2.73E-30,4E-32,ljg+15,48442.5,ljg+15,56.77118,0.00024,bkk+16,*,0,*,3,0,lylg95,4.7,0,lylg95,550,100,tbms98,14,3,lylg95,56703,bkk+16,*,*,2,1.31,ymw17
6,B0950+08,phbc68,J0953+0755,phbc68,09:53:09.3097,0.0019,hlk+04,+07:55:35.75,0.08,hlk+04,-2.09,0.08,bbgt02,29.46,0.07,bbgt02,3.82,0.07,bbgt02,46375,hlk+04,148.28879,7.9266,0.2530651649482,9E-13,hlk+04,2.29758E-16,3E-21,hlk+04,3.951551372963,1.4E-11,hlk+04,-3.58762E-15,4E-20,hlk+04,-7.6E-27,4E-28,hlk+04,*,0,*,46375,hlk+04,2.96927,8E-05,srb+15,*,0,*,9.5,0,lylg95,20.6,0,lylg95,400,200,lylg95,84,8,lylg95,56285,srb+15,*,*,0.26,0.19,ymw17
7,B1642-03,ht69,J1645-0317,ht69,16:45:02.0414,0.0006,hlk+04,-03:17:58.32,0.03,hlk+04,-3.7,1.5,bfg+03,30,1.6,bfg+03,*,0,*,46515,hlk+04,251.25851,-3.29953,0.387689698034,7E-12,hlk+04,1.780431E-15,1.7E-20,hlk+04,2.57938244186,4E-11,hlk+04,-1.184559E-14,1.1E-19,hlk+04,6.6E-27,1.1E-27,hlk+04,*,0,*,46515,hlk+04,35.7555,0.0008,srb+15,*,0,*,4.2,0,lylg95,8,0,lylg95,393,43,lylg95,21,6,lylg95,56842,srb+15,*,*,1.32,1.32,ymw17
8,B1641-45,kac+73,J1644-4559,kac+73,16:44:49.281,0.019,smd93,-45:59:09.5,0.4,smd93,*,0,*,*,0,*,*,0,*,46800,*,251.20534,-45.98597,0.455059775403,1E-11,smd93,2.00902E-14,6E-19,smd93,2.19751350054,5E-11,smd93,-9.7017E-14,3E-18,smd93,*,0,*,*,0,*,46800,smd93,478.8,0.8,dmk+93,*,0,*,8.2,0,mhm80,*,0,*,375,0,mlt+78,296.4,0.1,hwxh16,46800,*,*,*,4.5,4.44,ymw17
9,J0341+5711,hrk+08,J0341+5711,hrk+08,03:41,0,hrk+08,+57:11,0,hrk+08,*,0,*,*,0,*,*,0,*,54100,*,55.25,57.18333,1.888,0,hrk+08,*,0,*,0.529661,0,hrk+08,*,0,*,*,0,*,*,0,*,54100,*,100,0,hrk+08,*,0,*,*,0,*,*,0,*,364.7,0,slr+14,*,0,*,54100,*,*,*,2.03,2.03,ymw17
10,B1451-68,lvw68,J1456-6843,lvw68,14:56:00.158,0.014,smd93,-68:43:39.25,0.09,smd93,-39.5,0.4,bmk+90b,-12.3,0.3,bmk+90b,2.2,0.3,bmk+90a,43560,smd93,224.00066,-68.72757,0.2633768148933,1.9E-12,smd93,9.826E-17,1.3E-19,smd93,3.79684142055,3E-11,smd93,-1.4165E-15,1.9E-18,smd93,*,0,*,*,0,*,46800,smd93,8.639,0.007,pkj+13,*,0,*,12.5,0,mhma78,29,0,mhma78,350,0,mlt+78,80,0,mhm80,55000,pkj+13,*,*,0.43,0.71,ymw17
11,B2016+28,csl68,J2018+2839,csl68,20:18:03.8333,0.0009,hlk+04,+28:39:54.212,0.016,hlk+04,-2.6,0.2,bbgt02,-6.2,0.4,bbgt02,1.03,0.1,bbgt02,46384,hlk+04,304.51597,28.66506,0.5579534804225,7E-13,hlk+04,1.481058E-16,1.6E-21,hlk+04,1.7922641135652,2E-12,hlk+04,-4.75747E-16,5E-21,hlk+04,4.86E-27,5E-29,hlk+04,*,0,*,46384,hlk+04,14.1977,0.0006,srb+15,*,0,*,14.9,0,lylg95,22.2,0,lylg95,314,30,lylg95,30,13,lylg95,57009,srb+15,*,*,0.98,0.96,ymw17
